"species";"lookup";"match"
"– N. lutea (L.) SIBTH. et SM. ";"Große T. – N. lutea (L.) SIBTH. et SM. ";"Z z"
"– N. pumila (TIMM) DC.4 (1) SchwimmBlSpr";"Zwerg-T. – N. pumila (TIMM) DC.4 (1) SchwimmBlSpr";"Z s"
"– N. sagittifolia (WALTER) PURSH4* Schwi";"Pfeilblättrige T. – N. sagittifolia (WALTER) PURSH4* Schwi";"Z s"
"– N. polysepala ENGELM.";"Indianer-T. – N. polysepala ENGELM.";"Z s"
"– N. variegata DURAND";"Stierkopf-T. – N. variegata DURAND";"Z s"
"– N. advena (AITON) W. T. AITON";"Amerikanische T. – N. advena (AITON) W. T. AITON";"Z s"
"– N. mexicana ZUCC.";"Mexikanische S. – N. mexicana ZUCC.";"Z s"
"– N. alba L. f. rosea C. HARTM.";"Schwedische S. – N. alba L. f. rosea C. HARTM.";"Z s"
"– N. candida C. PRESL5 (3) Rhizom mit kn";"Kleine S. – N. candida C. PRESL5 (3) Rhizom mit kn";"Z s"
"– N. tuberosa PAINE5* Rhizom walzlich, o";"Knollen-S. – N. tuberosa PAINE5* Rhizom walzlich, o";"Z s"
"– N. odorata AITON";"Wohlriechende S. – N. odorata AITON";"Z s"
"– N. alba L.";"Weiße S. – N. alba L.";"Z z"
"– N. nucifera GAERTN.";"Indische L. – N. nucifera GAERTN.";"Z s"
"– N. lutea (WILLD.) PERS.";"Amerikanische L. – N. lutea (WILLD.) PERS.";"Z s"
"– H. canadensis L. ";"Kanadische O. – H. canadensis L. ";"Z s"
"– C. aspleniifolia SALISB.2* NektarBl ve";"Streifenfarnblättriger G. – C. aspleniifolia SALISB.2* NektarBl ve";"Z s"
"– C. japonica (THUNB.) MAKINO var. disse";"Japanischer G. – C. japonica (THUNB.) MAKINO var. disse";"Z s"
"– C. quinquefolia MIQ.";"Fünfblättriger G. – C. quinquefolia MIQ.";"Z s"
"– C. trifolia (L.) SALISB.4* Blchen deut";"Dreiblättriger G. – C. trifolia (L.) SALISB.4* Blchen deut";"Z s"
"– A. macrophylla SIEBOLD et ZUCC.";"Großblättrige Sch. – A. macrophylla SIEBOLD et ZUCC.";"Z s"
"– C. racemosa (L.) NUTT.2* Frchen längli";"Juli-S. – C. racemosa (L.) NUTT.2* Frchen längli";"Z z"
"– C. elata NUTT.";"Große S. – C. elata NUTT.";"Z s"
"– C. japonica (THUNB.) SPRENG.";"September-S., Japanische S. – C. japonica (THUNB.) SPRENG.";"Z s"
"– C. rubifolia KEARNEY";"Appalachen-S. – C. rubifolia KEARNEY";"Z z"
"– C. dahurica (TURCZ. ex FISCH. et C. A.";"August-S. – C. dahurica (TURCZ. ex FISCH. et C. A.";"Z s"
"– C. simplex (DC.) WORMSK.: B zwittrig, ";"Oktober-S. – C. simplex (DC.) WORMSK.: B zwittrig, ";NA
"– C. americana MICHX.";"Amerikanische S. – C. americana MICHX.";"Z z"
"– C. foetida L.Ähnlich: Europäische S. –";"Stinkende S. – C. foetida L.Ähnlich: Europäische S. –";"Z s"
"– A. spicata L.";"Schwarzfrüchtiges Ch. – A. spicata L.";"Z s"
"– A. asiatica H. HARA3 (1) FrStiel nicht";"Asiatisches Ch. – A. asiatica H. HARA3 (1) FrStiel nicht";"Z s"
"– A. rubra (AITON) WILLD.";"Rotes Ch. – A. rubra (AITON) WILLD.";"Z s"
"– A. pachypoda ELLIOTT";"Dickstieliges Ch. – A. pachypoda ELLIOTT";"Z s"
"– H. foetidus L.";"Stinkende N. – H. foetidus L.";"Z z"
"– H. argutifolius VIV.Ähnlich: Mallorqui";"Korsische N. – H. argutifolius VIV.Ähnlich: Mallorqui";"Z z"
"– H. odorus WALDST. et KIT.Ähnlich: Grün";"Wohlriechende N. – H. odorus WALDST. et KIT.Ähnlich: Grün";"Z s"
"– H. orientalis LAM.";"Orientalische N. – H. orientalis LAM.";"Z s"
"– I. thalictroides L. ";"Wiesenrauten-M. – I. thalictroides L. ";"Z z"
"– P. caespitosa (BOISS. et HOHEN.) J. R.";"Rasenbildende P. – P. caespitosa (BOISS. et HOHEN.) J. R.";"Z s"
"– P. anemonoides (WILLD.) ULBR.Ähnlich: ";"Anemonenähnliche P. – P. anemonoides (WILLD.) ULBR.Ähnlich: ";"Z s"
"– S. adoxoides (DC.) MAKINO";"Moschuskrautähnliche Sch. – S. adoxoides (DC.) MAKINO";"Z s"
"– A. ecalcarata MAXIM.3 (1) Sporn am End";"Spornlose A. – A. ecalcarata MAXIM.3 (1) Sporn am End";"Z s"
"– A. aurea JANKAÄhnlich: Gelbliche A. – ";"Gold-A. – A. aurea JANKAÄhnlich: Gelbliche A. – ";"Z s"
"– A. saximontana RYDB.";"Niedrige A. – A. saximontana RYDB.";"Z s"
"– A. sibirica LAM.";"Sibirische A. – A. sibirica LAM.";"Z s"
"– A. glandulosa FISCH. ex LINK";"Drüsige A. – A. glandulosa FISCH. ex LINK";"Z s"
"– A. laramiensis A. NELSON10* BHüllBl bl";"Laramie-A., Wyoming-A. – A. laramiensis A. NELSON10* BHüllBl bl";"Z s"
"– A. olympica BOISS.Ähnlich: Balkanische";"Kaukasische A. – A. olympica BOISS.Ähnlich: Balkanische";"Z s"
"– A. atrata W. D. J. KOCH";"Schwarzviolette A. – A. atrata W. D. J. KOCH";"Z s"
"– A. alpina L. ";"Alpen-A. – A. alpina L. ";"Z s"
"– A. bertolonii SCHOTT";"Bertoloni-A. – A. bertolonii SCHOTT";"Z s"
"– A. vulgaris L.: ∞ Sorten, s. 15*2* B a";"Gewöhnliche A. – A. vulgaris L.: ∞ Sorten, s. 15*2* B a";NA
"– A. flavescens S. WATSON: BHüllBl 12–22";"Gelbliche A. – A. flavescens S. WATSON: BHüllBl 12–22";"Z s"
"– A. formosa FISCH. ex DC. var. formosa2";"Schöne A. – A. formosa FISCH. ex DC. var. formosa2";"Z s"
"– A. shockleyi EASTW.21 (18) Blchen bis ";"Shockley-A. – A. shockleyi EASTW.21 (18) Blchen bis ";"Z s"
"– A. canadensis L.";"Rote A. – A. canadensis L.";"Z z"
"– A. desertorum (M. E. JONES) A. HELLER";"Einöde-A. – A. desertorum (M. E. JONES) A. HELLER";"Z s"
"– A. scopulorum TIDESTR.";"Felsen-A. – A. scopulorum TIDESTR.";"Z s"
"– A. × cultorumBERGMANS, A. × hybrida ho";"Aquilegia-Hybriden – A. × cultorumBERGMANS, A. × hybrida ho";"Z v"
"– A. pubescens COVILLE25* Sporn 42–180 m";"Kalifornische A. – A. pubescens COVILLE25* Sporn 42–180 m";"Z s"
"– A. longissima A. GRAY ex S. WATSON26* ";"Langsporn-A. – A. longissima A. GRAY ex S. WATSON26* ";"Z s"
"– A. chrysantha A. GRAY27 (22) B deutlic";"Goldsporn-A. – A. chrysantha A. GRAY27 (22) B deutlic";"Z z"
"– A. ottonis BOISS. subsp. amaliae (HELD";"Balkanische A. – A. ottonis BOISS. subsp. amaliae (HELD";"Z s"
"– A. buergeriana SIEBOLD et ZUCC. f. fla";"Japanische A. – A. buergeriana SIEBOLD et ZUCC. f. fla";"Z s"
"– A. nivalis FALC. ex JACKS.29* Sporn so";"Schnee-A. – A. nivalis FALC. ex JACKS.29* Sporn so";"Z s"
"– A. jonesii PARRY";"Jones-A. – A. jonesii PARRY";"Z s"
"– A. viridiflora PALLAS32* BHüllBl 15–35";"Grünblütige A. – A. viridiflora PALLAS32* BHüllBl 15–35";"Z z"
"– A. thalictrifolia SCHOTT et KOTSCHY34*";"Wiesenrauten-A. – A. thalictrifolia SCHOTT et KOTSCHY34*";"Z s"
"– A. einseleana F. W. SCHULTZ";"Kleinblütige A. – A. einseleana F. W. SCHULTZ";"Z z"
"– A. pyrenaica DC.";"Pyrenäen-A. – A. pyrenaica DC.";"Z s"
"– A. bernardii GREN. et GODR.";"Korsische A. – A. bernardii GREN. et GODR.";"Z s"
"– A. fragrans BENTH.";"Wohlriechende A. – A. fragrans BENTH.";"Z s"
"– A. nevadensis BOISS. et REUT.";"Sierra Nevada-A. – A. nevadensis BOISS. et REUT.";"Z s"
"– A. grata F. MALY ex ZIMMETER";"Angenehme A. – A. grata F. MALY ex ZIMMETER";"Z s"
"– C. natans PALL.";"Schwimmende D. – C. natans PALL.";"Z s"
"– C. leptosepala DC.";"Westamerikanische D. – C. leptosepala DC.";"Z s"
"– C. palustris L.Trollblume – Trollius L";"Sumpf-D. – C. palustris L.Trollblume – Trollius L";"Z z"
"– T. acaulis LINDL.";"Kaschmir-T. – T. acaulis LINDL.";"Z s"
"– T. chinensis BUNGE3* NektarBl kürzer a";"Chinesische T. – T. chinensis BUNGE3* NektarBl kürzer a";"Z z"
"– T. asiaticus L.";"Asiatische T. – T. asiaticus L.";"Z s"
"– T. pumilus D. DON4* Pfl meist 30–60 cm";"Niedrige T. – T. pumilus D. DON4* Pfl meist 30–60 cm";"Z s"
"– T. europaeus L.5* BHüllBl spreizend, B";"Trollblume, Kugelranunkel – T. europaeus L.5* BHüllBl spreizend, B";"Z z"
"– T. yunnanensis (FRANCH.) ULBR.";"Yunnan-T. – T. yunnanensis (FRANCH.) ULBR.";"Z z"
"– N. damascena L.";"Damaszener Sch., Jungfer im Grünen, Braut in Haaren – N. damascena L.";"Z v"
"– N. hispanica L.2* B 3,5–4,5 cm ∅, bläu";"Spanischer Sch. – N. hispanica L.2* B 3,5–4,5 cm ∅, bläu";"Z z"
"– N. sativa L.";"Echter Sch. – N. sativa L.";"Z z"
"– A. alboviolaceum KOM. var. alboviolace";"Weißvioletter E. – A. alboviolaceum KOM. var. alboviolace";"Z s"
"– A. hemsleyanum E. PRITZ.";"Hemsley-E. – A. hemsleyanum E. PRITZ.";"Z s"
"– A. volubile PALL. ex KOELLE";"Windender E. – A. volubile PALL. ex KOELLE";"Z s"
