genus_vernacular;species_vernacular;genus_scientific;genus_author;species_scientific;primary_use;secondary_use;wild
Teichrose, Mummel;Japanische T.;Nuphar;SM.;N. japonica;Z;NA;NA
Teichrose, Mummel;Große T.;Nuphar;SM.;N. lutea;Z;NA;W
Telekie;Große T.;Telekia;BAUMG.;T. speciosa;Z;NA;W
Teichrose, Mummel;Zwerg-T.;Nuphar;SM.;N. pumila;Z;NA;W
Teichrose, Mummel;Pfeilblättrige T.;Nuphar;SM.;N. sagittifolia;Z;NA;NA
Teichrose, Mummel;Indianer-T.;Nuphar;SM.;N. polysepala;Z;NA;NA
Teichrose, Mummel;Stierkopf-T.;Nuphar;SM.;N. variegata;Z;NA;NA
Teichrose, Mummel;Amerikanische T.;Nuphar;SM.;N. advena;Z;NA;NA
Seerose;Mexikanische S.;Nymphaea;L.;N. mexicana;Z;NA;NA
Seerose;Schwedische S.;Nymphaea;L.;N. alba f. rosea;Z;NA;NA
Seerose;Zwerg-S.;Nymphaea;L.;N. tetragona;Z;NA;NA
Seerose;Kleine S.;Nymphaea;L.;N. candida;Z;NA;NA
Seerose;Knollen-S.;Nymphaea;L.;N. tuberosa;Z;NA;NA
Seerose;Wohlriechende S.;Nymphaea;L.;N. odorata;Z;NA;NA
Seerose;Weiße S.;Nymphaea;L.;N. alba;Z;NA;NA
Silberwurz;Weiße S.;Dryas;L.;D. octopetala;Z;NA;W
Sommerhyazinthe, Galtonie, Kaphyazinthe;Weiße S.;Glatonia;DECNE.;G. candicans;Z;NA;NA
Lotosblume;Indische L.;Nelumbo;ADANS.;N. nucifera;Z;NA;NA
Lotosblume;Amerikanische L.;Nelumbo;ADANS.;N. lutea;Z;NA;NA
Orangenwurzel;Kanadische O.;Hydrastis;L.;H. canadensis;Z;NA;NA
Gelbwurz;Gelbwurz;Xanthorhiza;MARSHALL;X. simplicissima;Z;NA;NA
Goldfaden;Streifenfarnblättriger G.;Coptis;SALISB.;C. aspleniifolia;Z;NA;NA
Gilbweiderich, Felberich;Japanischer G.;Lysimachia;L.;L. japonica;Z;NA;NA
Goldkolben, Ligularie;Japanischer G.;Ligularia;CASS.;L. japonica;Z;NA;NA
Goldfaden;Japanischer G.;Coptis;SALISB.;C. japonica var. disse;Z;NA;NA
Goldfaden;Fünfblättriger G.;Coptis;SALISB.;C. quinquefolia;Z;NA;NA
Goldfaden;Dreiblättriger G.;Coptis;SALISB.;C. trifolia;Z;NA;NA
Scheinanemone;Großblättrige Sch.;Anemonopsis;SIEBOLD;A. macrophylla;Z;NA;NA
Silberkerze, Wanzenkraut;Juli-S.;Cimicifuga;WERNISCH.;C. racemosa;Z;N;NA
Silberkerze, Wanzenkraut;Große S.;Cimicifuga;WERNISCH.;C. elata;Z;NA;NA
Silberkerze, Wanzenkraut;September-S., Japanische S.;Cimicifuga;WERNISCH.;C. japonica;Z;NA;NA
Silberkerze, Wanzenkraut;Appalachen-S.;Cimicifuga;WERNISCH.;C. rubifolia;Z;NA;NA
Silberkerze, Wanzenkraut;August-S.;Cimicifuga;WERNISCH.;C. dahurica;Z;NA;NA
Silberkerze, Wanzenkraut;Oktober-S.;Cimicifuga;WERNISCH.;C. simplex;Z;NA;NA
Silberkerze, Wanzenkraut;Amerikanische S.;Cimicifuga;WERNISCH.;C. americana;Z;NA;NA
Silberkerze, Wanzenkraut;Stinkende S.;Cimicifuga;WERNISCH.;C. foetida;Z;NA;NA
Silberkerze, Wanzenkraut;Europäische S.;Cimicifuga;WERNISCH.;C. europaea;Z;NA;NA
Christophskraut;Schwarzfrüchtiges Ch.;Actaea;L.;A. spicata;Z;NA;W
Christophskraut;Asiatisches Ch.;Actaea;L.;A. asiatica;Z;NA;NA
Christophskraut;Rotes Ch.;Actaea;L.;A. rubra;Z;NA;NA
Christophskraut;Dickstieliges Ch.;Actaea;L.;A. pachypoda;Z;NA;NA
Nieswurz, Christrose;Stinkende N.;Helleborus;L.;H. foetidus;Z;NA;W
Nieswurz, Christrose;Korsische N.;Helleborus;L.;H. argutifolius;Z;NA;NA
Nieswurz, Christrose;Schwarze N., Christrose;Helleborus;L.;H. niger;Z;NA;NA
Nieswurz, Christrose;Wohlriechende N.;Helleborus;L.;H. odorus;Z;NA;NA
Nieswurz, Christrose;Orientalische N.;Helleborus;L.;H. orientalis;Z;NA;NA
Winterling, Winterstern;Winterling;Eranthis;SALISB.;E. hyemalis;Z;NA;W
Muschelblümchen;Wiesenrauten-M.;Isopyrum;L.;I. thalictroides;Z;NA;NA
Paraquilegia;Rasenbildende P.;Paraquilegia;J.;P. caespitosa;Z;NA;NA
Paraquilegia;Anemonenähnliche P.;Paraquilegia;J.;P. anemonoides;Z;NA;NA
Scheinakelei;Moschuskrautähnliche Sch.;Semiaquilegia;MAKINO;S. adoxoides;Z;NA;NA
Akelei;Gewöhnliche A.;Aquilegia;L.;A. vulgaris;Z;NA;W
Alpenmargerite;Gewöhnliche A.;Leucanthemopsis;HEYWOOD;L. alpina;Z;NA;W
Akelei;Spornlose A.;Aquilegia;L.;A. ecalcarata;Z;NA;NA
Akelei;Gold-A.;Aquilegia;L.;A. aurea;Z;NA;NA
Akelei;Gelbliche A.;Aquilegia;L.;A. flavescens;Z;NA;NA
Akelei;Niedrige A.;Aquilegia;L.;A. saximontana;Z;NA;NA
Akelei;Sibirische A.;Aquilegia;L.;A. sibirica;Z;NA;NA
Akelei;Kurilen-A.;Aquilegia;L.;NA;NA;NA;NA
Akelei;Zwerg-A.;Aquilegia;L.;NA;NA;NA;NA
Akelei;Kurilen-A.;Aquilegia;L.;NA;NA;NA;NA
Akelei;Drüsige A.;Aquilegia;L.;A. glandulosa;Z;NA;NA
Akelei;Laramie-A., Wyoming-A.;Aquilegia;L.;A. laramiensis;Z;NA;NA
Akelei;Niedrige A.;Aquilegia;L.;A. saximontana;Z;NA;NA
Akelei;Kaukasische A.;Aquilegia;L.;A. olympica;Z;NA;NA
Akelei;Balkanische A.;Aquilegia;L.;A. ottonis subsp. amaliae;Z;NA;NA
Akelei;Schwarzviolette A.;Aquilegia;L.;A. atrata;Z;NA;W
Akelei;Alpen-A.;Aquilegia;L.;A. alpina;Z;NA;NA
Akelei;Bertoloni-A.;Aquilegia;L.;A. bertolonii;Z;NA;NA
Akelei;Japanische A.;Aquilegia;L.;A. buergeriana f.;Z;NA;NA
Akelei;Gelbliche A.;Aquilegia;L.;A. flavescens;Z;NA;NA
Akelei;Schöne A.;Aquilegia;L.;A. formosa var. formosa;Z;NA;NA
Akelei;Shockley-A.;Aquilegia;L.;A. shockleyi;Z;NA;NA
Akelei;Rote A.;Aquilegia;L.;A. canadensis;Z;NA;NA
Akelei;Einöde-A.;Aquilegia;L.;A. desertorum;Z;NA;NA
Akelei;Felsen-A.;Aquilegia;L.;A. scopulorum;Z;NA;NA
Akelei;Aquilegia-Hybriden;Aquilegia;L.;A. hybrida;Z;NA;NA
Akelei;Rocky-Mountains-A.;Aquilegia;L.;A. caerulea;Z;NA;NA
Akelei;Kalifornische A.;Aquilegia;L.;A. pubescens;Z;NA;NA
Akelei;Langsporn-A.;Aquilegia;L.;A. longissima;Z;NA;NA
Akelei;Goldsporn-A.;Aquilegia;L.;A. chrysantha;Z;NA;NA
Akelei;Balkanische A.;Aquilegia;L.;A. ottonis subsp. amaliae;Z;NA;NA
Akelei;Japanische A.;Aquilegia;L.;A. buergeriana f.;Z;NA;NA
Akelei;Schnee-A.;Aquilegia;L.;A. nivalis;Z;NA;NA
Akelei;Jones-A.;Aquilegia;L.;A. jonesii;Z;NA;NA
Akelei;Grünblütige A.;Aquilegia;L.;A. viridiflora;Z;NA;NA
Akelei;Wiesenrauten-A.;Aquilegia;L.;A. thalictrifolia;Z;NA;NA
Akelei;Kleinblütige A.;Aquilegia;L.;A. einseleana;Z;NA;W
Akelei;Bertoloni-A.;Aquilegia;L.;A. bertolonii;Z;NA;NA
Akelei;Korsische A.;Aquilegia;L.;A. bernardii;Z;NA;NA
Akelei;Wohlriechende A.;Aquilegia;L.;A. fragrans;Z;NA;NA
Akelei;Sierra Nevada-A.;Aquilegia;L.;A. nevadensis;Z;NA;NA
Akelei;Angenehme A.;Aquilegia;L.;A. grata;Z;NA;NA
Akelei;Pyrenäen-A.;Aquilegia;L.;A. pyrenaica;Z;NA;NA
Alpenglöckchen, Troddelblume;Pyrenäen-A.;Soldanella;L.;S. villosa;Z;NA;NA
Akelei;Jones-A.;Aquilegia;L.;A. jonesii;Z;NA;NA
Akelei;Grünblütige A.;Aquilegia;L.;A. viridiflora;Z;NA;NA
Dotterblume;Schwimmende D.;Caltha;L.;C. natans;Z;NA;NA
Dotterblume;Westamerikanische D.;Caltha;L.;C. leptosepala;Z;NA;NA
Dotterblume;Sumpf-D.;Caltha;L.;C. palustris;Z;NA;W
Trollblume;Kaschmir-T.;Trollius;L.;T. acaulis;Z;NA;NA
Trollblume;Chinesische T.;Trollius;L.;T. chinensis;Z;NA;NA
Trollblume;Asiatische T.;Trollius;L.;T. asiaticus;Z;NA;NA
Trollblume;Niedrige T.;Trollius;L.;T. pumilus;Z;NA;NA
Tulpe;Niedrige T.;Tulipa;L.;T. humilis;Z;NA;NA
Trollblume, Kugelranunkel;Yunnan-T.;Trollius;L.;T. yunnanensis;Z;NA;NA
Schwarzkümmel;Damaszener Sch., Jungfer im Grünen, Braut in Haaren;Nigella;L.;N. damascena;Z;NA;NA
