genus_vernacular;species_vernacular;genus_scientific;species_scientific;primary_use;secondary_use;wild
Teichrose, Mummel;Japanische T.;Nuphar;N. japonica;Z;NA;NA
Teichrose, Mummel;Große T.;Nuphar;N. lutea;Z;NA;W
Telekie;Große T.;Telekia;T. speciosa;Z;NA;W
Teichrose, Mummel;Zwerg-T.;Nuphar;N. pumila;Z;NA;W
Teichrose, Mummel;Pfeilblättrige T.;Nuphar;N. sagittifolia;Z;NA;NA
Teichrose, Mummel;Indianer-T.;Nuphar;N. polysepala;Z;NA;NA
Teichrose, Mummel;Stierkopf-T.;Nuphar;N. variegata;Z;NA;NA
Teichrose, Mummel;Amerikanische T.;Nuphar;N. advena;Z;NA;NA
Seerose;Mexikanische S.;Nymphaea;N. mexicana;Z;NA;NA
Seerose;Schwedische S.;Nymphaea;N. alba f. rosea;Z;NA;NA
Seerose;Zwerg-S.;Nymphaea;N. tetragona;Z;NA;NA
Seerose;Kleine S.;Nymphaea;N. candida;Z;NA;NA
Seerose;Knollen-S.;Nymphaea;N. tuberosa;Z;NA;NA
Seerose;Wohlriechende S.;Nymphaea;N. odorata;Z;NA;NA
Seerose;Weiße S.;Nymphaea;N. alba;Z;NA;NA
Silberwurz;Weiße S.;Dryas;D. octopetala;Z;NA;W
Sommerhyazinthe, Galtonie, Kaphyazinthe;Weiße S.;Glatonia;G. candicans;Z;NA;NA
Lotosblume;Indische L.;Nelumbo;N. nucifera;Z;NA;NA
Lotosblume;Amerikanische L.;Nelumbo;N. lutea;Z;NA;NA
Orangenwurzel;Kanadische O.;Hydrastis;H. canadensis;Z;NA;NA
Gelbwurz;Gelbwurz;Xanthorhiza;X. simplicissima;Z;NA;NA
Goldfaden;Streifenfarnblättriger G.;Coptis;C. aspleniifolia;Z;NA;NA
Gilbweiderich, Felberich;Japanischer G.;Lysimachia;L. japonica;Z;NA;NA
Goldkolben, Ligularie;Japanischer G.;Ligularia;L. japonica;Z;NA;NA
