Vernacular_name;Species;Genus;Author
Teichrose, Mummel;Japanische T. –;Nuphar;SM.
Teichrose, Mummel;Große T.;Nuphar;SM.
Teichrose, Mummel;Zwerg-T.;Nuphar;SM.
Teichrose, Mummel;Pfeilblättrige T.;Nuphar;SM.
Teichrose, Mummel;Indianer-T.;Nuphar;SM.
Teichrose, Mummel;Stierkopf-T.;Nuphar;SM.
Teichrose, Mummel;Amerikanische T. –;Nuphar;SM.
Seerose;Mexikanische S. –;Nymphaea;L.
Seerose;Schwedische S. –;Nymphaea;L.
Seerose;Zwerg-S. –;Nymphaea;L.
Seerose;Kleine S. –;Nymphaea;L.
Seerose;Knollen-S. –;Nymphaea;L.
Seerose;Wohlriechende S.;Nymphaea;L.
Seerose;Weiße S.;Nymphaea;L.
Lotosblume;Indische L.;Nelumbo;ADANS.
Lotosblume;Amerikanische L.;Nelumbo;ADANS.
Orangenwurzel;Kanadische O.;Hydrastis;L.
Gelbwurz;Gelbwurz;Xanthorhiza;MARSHALL
Goldfaden;Streifenfarnblättriger G.;Coptis;SALISB.
Goldfaden;Japanischer G.;Coptis;SALISB.
Goldfaden;Fünfblättriger G.;Coptis;SALISB.
Goldfaden;Dreiblättriger G.;Coptis;SALISB.
Goldfaden;Japanischer G.;Coptis;SALISB.
Scheinanemone;Großblättrige Sch.;NA;NA
Silberkerze, Wanzenkraut;Juli-S.;Cimicifuga;WERNISCH.
Silberkerze, Wanzenkraut;Große S.;Cimicifuga;WERNISCH.
Silberkerze, Wanzenkraut;September-S., Japanische S.;Cimicifuga;WERNISCH.
Silberkerze, Wanzenkraut;Appalachen-S.;Cimicifuga;WERNISCH.
Silberkerze, Wanzenkraut;August-S.;Cimicifuga;WERNISCH.
Silberkerze, Wanzenkraut;Oktober-S.;Cimicifuga;WERNISCH.
Silberkerze, Wanzenkraut;Oktober-S.;Cimicifuga;WERNISCH.
Silberkerze, Wanzenkraut;Amerikanische S.;Cimicifuga;WERNISCH.
Silberkerze, Wanzenkraut;Stinkende S.;Cimicifuga;WERNISCH.
Silberkerze, Wanzenkraut;Europäische S.;Cimicifuga;WERNISCH.
Christophskraut;Schwarzfrüchtiges Ch.;Actaea;L.
Christophskraut;Asiatisches Ch.;Actaea;L.
