"taxon_name";"frequency";"ornamental";"crop";"wild";"cultivated";"native";"range";"trend";"threat_2018";"threat_1998"
"Abelmoschus manihot";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Abelmoschus moschatus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Abelmoschus esculentus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Abronia umbellata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Abutilon theophrasti";"s";"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"kN"
"Acaena inermis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Acaena sericea";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Acaena myriophylla";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Acaena ovalifolia";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Acaena microphylla";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Acaena buchananii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Acaena novae-zelandiae";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Acaena anserinifolia";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Acaena caesiiglauca";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Acantholimon venustum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Acantholimon ulicinum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Acantholimon glumaceum";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Acanthus dioscoridis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Acanthus hungaricus";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Acanthus hirsutus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Acanthus spinosus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Acanthus mollis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Achillea ageratifolia";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Achillea ptarmica";"v";"ornamental";NA;"W";"yes";"native";"h";"<";"*";"V"
"Achillea lingulata";"s";"ornamental";NA;"W";"yes";NA;NA;NA;NA;NA
"Achillea macrophylla";"s";"ornamental";NA;NA;"yes";"native";"es";"=";"R";"*"
"Achillea atrata";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*"
"Achillea erba-rotta";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Achillea clavennae";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*"
"Achillea umbellata";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Achillea nobilis";"s";"ornamental";NA;"W";"yes";"native";"s";"<";"V";"*"
"Achillea millefolium";"v";"ornamental";"crop";"W";"yes";"native";"sh";"=";"*";"*"
"Achillea ageratum";"s";"ornamental";"crop";NA;"yes";NA;NA;NA;NA;NA
"Achillea tomentosa";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Achillea chrysocoma";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Achillea filipendulina";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Achillea aegyptiaca";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Achillea holosericea";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Achillea clypeolata";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Achlys triphylla";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Achnatherum calamagrostis";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*"
"Achyranthes aspera";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Acmella oleracea";"s";"ornamental";"crop";NA;"yes";NA;NA;NA;NA;NA
"Aconitum alboviolaceum var. alboviolaceum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Aconitum hemsleyanum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Aconitum volubile";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Vaccinium henryi var. henryi";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Aconitum anthora";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Aconitum lycoctonum";"z";"ornamental";NA;"W";"yes";"native";"mh";"<";"*";"*"
"Aconitum moldavicum";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Aconitum carmichaelii";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Aconitum variegatum";"s";"ornamental";NA;"W";"yes";"native";"s";"=";"V";"*"
"Aconitum napellus";"z";"ornamental";NA;"W";"yes";"native";"mh";"<";"*";"*"
"Aconitum degenii";"z";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*"
"Aconitum pilipes";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"nb"
"Aconitum tauricum";"s";"ornamental";NA;"W";"yes";"native";"es";"=";"R";"R"
"Aconitum plicatum";"s";"ornamental";NA;"W";"yes";"native";"es";"=";"R";"R"
"Acorus calamus";"z";"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"*"
"Acorus gramineus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Actaea spicata";"s";"ornamental";NA;"W";"yes";"native";"h";"=";"*";"*"
"Actaea asiatica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Actaea rubra";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Actaea pachypoda";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Adenophora triphylla";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Adenophora liliifolia";NA;"ornamental";NA;"W";"yes";"native";"es";"<";"1";"1"
"Adenophora potaninii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Adenophora tricuspidata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Adenophora tashiroi";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Adenophora nikoensis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Adlumia fungosa";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Adonis annua";"z";"ornamental";NA;"W";"yes";NA;NA;NA;NA;NA
"Adonis vernalis";"z";"ornamental";NA;"W";"yes";"native";"s";"<";"3";"3"
"Adonis amurensis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Aegopodium podagraria";"s";"ornamental";NA;"W";"yes";"native";"sh";"=";"*";"*"
"Aethionema arabicum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Aethionema coridifolium";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Aethionema grandiflorum";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Agapanthus inapertus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
