"taxon_name";"frequency";"ornamental";"crop";"wild";"cultivated";"native";"range";"trend";"threat_2018";"threat_1998";"PlantGrowthForm"
"Abelmoschus manihot";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Abelmoschus moschatus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Abelmoschus esculentus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Abronia umbellata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Abutilon theophrasti";"s";"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"kN";"herb"
"Acaena inermis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Acaena sericea";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Acaena myriophylla";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Acaena ovalifolia";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Acaena microphylla";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Acaena buchananii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Acaena novae-zelandiae";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Acaena anserinifolia";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Acaena caesiiglauca";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Acantholimon venustum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Acantholimon ulicinum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Acantholimon glumaceum";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Acanthus dioscoridis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Acanthus hungaricus";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Acanthus hirsutus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Acanthus spinosus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Acanthus mollis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb/shrub"
"Achillea ageratifolia";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Achillea ptarmica";"v";"ornamental";NA;"W";"yes";"native";"h";"<";"*";"V";"herb"
"Achillea lingulata";"s";"ornamental";NA;"W";"yes";NA;NA;NA;NA;NA;NA
"Achillea macrophylla";"s";"ornamental";NA;NA;"yes";"native";"es";"=";"R";"*";"herb"
"Achillea atrata";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*";"herb"
"Achillea erba-rotta";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"shrub"
"Achillea clavennae";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*";"herb"
"Achillea umbellata";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Achillea nobilis";"s";"ornamental";NA;"W";"yes";"native";"s";"<";"V";"*";"herb"
"Achillea millefolium";"v";"ornamental";"crop";"W";"yes";"native";"sh";"=";"*";"*";"herb"
"Achillea ageratum";"s";"ornamental";"crop";NA;"yes";NA;NA;NA;NA;NA;"herb"
"Achillea tomentosa";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Achillea chrysocoma";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Achillea filipendulina";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Achillea aegyptiaca";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Achillea holosericea";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Achillea clypeolata";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Achlys triphylla";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Achnatherum calamagrostis";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*";"graminoid"
"Achyranthes aspera";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb/shrub"
"Acmella oleracea";"s";"ornamental";"crop";NA;"yes";NA;NA;NA;NA;NA;NA
"Aconitum alboviolaceum var. alboviolaceum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Aconitum hemsleyanum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Aconitum volubile";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Vaccinium henryi var. henryi";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Aconitum anthora";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Aconitum lycoctonum";"z";"ornamental";NA;"W";"yes";"native";"mh";"<";"*";"*";"herb"
"Aconitum moldavicum";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Aconitum carmichaelii";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Aconitum variegatum";"s";"ornamental";NA;"W";"yes";"native";"s";"=";"V";"*";"herb"
"Aconitum napellus";"z";"ornamental";NA;"W";"yes";"native";"mh";"<";"*";"*";"herb"
"Aconitum degenii";"z";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*";"herb"
"Aconitum pilipes";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"nb";"herb"
"Aconitum tauricum";"s";"ornamental";NA;"W";"yes";"native";"es";"=";"R";"R";"herb"
"Aconitum plicatum";"s";"ornamental";NA;"W";"yes";"native";"es";"=";"R";"R";"herb"
"Acorus calamus";"z";"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"*";"herb"
"Acorus gramineus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Actaea spicata";"s";"ornamental";NA;"W";"yes";"native";"h";"=";"*";"*";"herb"
"Actaea asiatica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Actaea rubra";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Actaea pachypoda";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Adenophora triphylla";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Adenophora liliifolia";NA;"ornamental";NA;"W";"yes";"native";"es";"<";"1";"1";"herb"
"Adenophora potaninii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb/shrub"
"Adenophora tricuspidata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Adenophora tashiroi";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Adenophora nikoensis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Adlumia fungosa";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Adonis annua";"z";"ornamental";NA;"W";"yes";NA;NA;NA;NA;NA;"herb"
"Adonis vernalis";"z";"ornamental";NA;"W";"yes";"native";"s";"<";"3";"3";"herb"
"Adonis amurensis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Aegopodium podagraria";"s";"ornamental";NA;"W";"yes";"native";"sh";"=";"*";"*";"herb"
"Aethionema arabicum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Aethionema coridifolium";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Aethionema grandiflorum";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Agapanthus inapertus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Agapanthus campanulatus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Agapanthus africanus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Agapanthus praecox";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Agastache mexicana";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Agastache rupestris";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Agastache urticifolia";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb/shrub"
"Agastache nepetoides";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb/shrub"
"Agastache foeniculum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Agastache rugosa";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Agave americana";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb/shrub"
"Agave parryi";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb/shrub"
"Agave toumeyana";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb/shrub"
"Agave lechuguilla";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Agave utahensis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb/shrub"
"Ageratum corymbosum";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;NA
"Ageratum houstonianum";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Ageratum conyzoides";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"herb"
"Agrimonia eupatoria";"s";"ornamental";NA;"W";"yes";"native";"h";"=";"*";"*";"herb"
"Agrimonia procera";"s";"ornamental";NA;"W";"yes";"native";"mh";"=";"*";"*";"herb"
"Agropyron cristatum";"s";NA;"crop";NA;"yes";NA;NA;NA;NA;NA;"graminoid"
"Agrostemma githago";"z";"ornamental";NA;"W";"yes";"native";"ss";"<<<";"2";"1";"herb"
"Agrostis rupestris";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*";"graminoid"
"Agrostis nebulosa";NA;"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"graminoid"
"Agrostis castellana";NA;"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"kN";"graminoid"
"Agrostis capillaris";"s";"ornamental";"crop";NA;"yes";"native";"sh";"=";"*";"*";"graminoid"
"Agrostis gigantea";NA;NA;"crop";"W";"yes";"native";"h";"=";"*";"*";"graminoid"
"Agrostis stolonifera";NA;NA;"crop";"W";"yes";"native";"sh";"=";"*";"*";"graminoid"
"Agrostis perennans";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA;"graminoid"
