genus_vernacular;species_vernacular;genus_scientific;species_scientific;frequency;primary_use;secondary_use;wild
Bisameibisch;Maniok-B.;Abelmoschus;A. manihot;Z s;Z;NA;NA
Bisameibisch;Moschus-B.;Abelmoschus;A. moschatus;Z s;Z;NA;NA
Bisameibisch;Okra-B., Lady’s Finger;Abelmoschus;A. esculentus;Z s;Z;NA;NA
Abronie, Sandverbene;Doldige A., Rosafarbene Sandverbene;Abronia;A. umbellata;Z s;Z;NA;NA
Samtpappel;Chinesische S.;Abutilon;A. theophrasti;Z s;Z;NA;W
Samtpappel;Rio-Grande-S.;Abutilon;A. megapotamicum;Z s;Z;NA;NA
Samtpappel;Hybrid-S.;Abutilon;A. hybridum;Z z;Z;NA;NA
Samtpappel;Bunte S.;Abutilon;A. pictum;Z s;Z;NA;NA
Samtpappel;Weinblättrige S.;Abutilon;A. vitifolium;Z s;Z;NA;NA
Stachelnüsschen;Unbewehrtes St.;Acaena;A. inermis f.;Z s;Z;NA;NA
Stachelnüsschen;Seidenhaariges St.;Acaena;A. sericea;Z s;Z;NA;NA
Stachelnüsschen;Tausendblättriges St.;Acaena;A. myriophylla;Z s;Z;NA;NA
Stachelnüsschen;Südamerikanisches St.;Acaena;A. ovalifolia;Z s;Z;NA;NA
Stachelnüsschen;Braunblättriges St.;Acaena;A. microphylla f.;Z z;Z;NA;NA
Stachelnüsschen;Blaugrünes St.;Acaena;A. buchananii f.;Z s;Z;NA;NA
Stachelnüsschen;Piripiri-St.;Acaena;A. novae-zelandiae;Z s;Z;NA;NA
Stachelnüsschen;Gänsefingerkraut-St.;Acaena;A. anserinifolia;Z s;Z;NA;NA
Stachelnüsschen;Graublaues St.;Acaena;A. caesiiglauca;Z s;Z;NA;NA
Igelpolster;Anmutiges I.;Acantholimon;A. venustum;Z s;Z;NA;NA
Igelpolster;Kurzschäftiges I.;Acantholimon;A. ulicinum;Z s;Z;NA;NA
Igelpolster;Gemeines I.;Acantholimon;A. glumaceum;Z z;Z;NA;NA
Akanthus;Dioskurides-A.;Acanthus;A. dioscoridis;Z s;Z;NA;NA
Akanthus;Ungarischer A.;Acanthus;A. hungaricus;Z z;Z;NA;NA
Akanthus;Behaarter A.;Acanthus;A. hirsutus;Z s;Z;NA;NA
Akanthus;Dorniger A.;Acanthus;A. spinosus;Z s;Z;NA;NA
Akanthus;Weicher A.;Acanthus;A. mollis;Z s;Z;NA;NA
Schafgarbe, Garbe;Ageratumblättrige Sch.;Achillea;A. ageratifolia;Z z;Z;NA;NA
Schafgarbe, Garbe;Sumpf-Sch., Bertramgarbe;Achillea;A. ptarmica;Z v;Z;NA;W
Schafgarbe, Garbe;Zungen-Sch.;Achillea;A. lingulata;Z s;Z;NA;W
Schafgarbe, Garbe;Großblättrige Sch.;Achillea;A. macrophylla;Z s;Z;NA;NA
Schafgarbe, Garbe;Schwarzrandige Sch.;Achillea;A. atrata;Z s;Z;NA;W
Schafgarbe, Garbe;Moschus-Sch., Ivakraut;Achillea;A. erba-rotta;Z s;Z;NA;NA
Schafgarbe, Garbe;Bittere Sch., Steinraute, Weißer Speik;Achillea;A. clavenae;Z s;Z;NA;W
Schafgarbe, Garbe;Dolden-Sch.;Achillea;A. umbellata;Z z;Z;NA;NA
Schafgarbe, Garbe;Edel-Sch.;Achillea;A. nobilis;Z s;Z;NA;W
Schafgarbe, Garbe;Gewöhnliche Sch.;Achillea;A. millefolium;Z v;Z;N;W
Schafgarbe, Garbe;Süße Sch., Muskatkraut;Achillea;A. ageratum;Z s;N;Z;NA
Schafgarbe, Garbe;Filzige Sch., Gelbe Sch.;Achillea;A. tomentosa;Z s;Z;NA;NA
Schafgarbe, Garbe;Goldhaar-Sch.;Achillea;A. chrysocoma;Z s;Z;NA;NA
Schafgarbe, Garbe;Gold-Garbe;Achillea;A. filipendulina;Z v;Z;NA;NA
Schafgarbe, Garbe;Griechische Sch., Griechische Edel-G.;Achillea;A. aegyptiaca;Z s;Z;NA;NA
Schafgarbe, Garbe;Seidenhaarige Sch.;Achillea;A. holosericea;Z s;Z;NA;NA
Schafgarbe, Garbe;Goldquirl-Sch.;Achillea;A. clypeolata;Z v;Z;NA;NA
Vanilleblatt;Dreiblättriges V.;Achlys;A. triphylla;Z s;Z;NA;NA
Raugras;Silber-R.;Achnatherum;A. calamagrostis;Z s;Z;NA;W
Spreublume;Spreublume;Achyranthes;A. aspera;Z s;Z;NA;NA
Husarenknopf, Parakresse;Husarenknopf, Parakresse;Acmella;A. oleracea;Z s;Z;N;NA
Eisenhut, Sturmhut;Weißvioletter E.;Aconitum;A. alboviolaceum var. alboviolace;Z s;Z;NA;NA
Eisenhut, Sturmhut;Hemsley-E.;Aconitum;A. hemsleyanum;Z s;Z;NA;NA
Eisenhut, Sturmhut;Windender E.;Aconitum;A. volubile;Z s;Z;NA;NA
Eisenhut, Sturmhut;Henry-E.;Aconitum;A. henryi var. henryi;Z s;Z;NA;NA
Eisenhut, Sturmhut;Feinblatt-E., Blassgelber E., Giftheil;Aconitum;A. anthora;Z s;Z;NA;NA
Eisenhut, Sturmhut;Gelber E., Wolfs-E.;Aconitum;A. lycoctonum;Z z;Z;NA;W
Eisenhut, Sturmhut;Moldawischer E.;Aconitum;A. moldavicum;Z z;Z;NA;NA
Eisenhut, Sturmhut;Chinesischer E.;Aconitum;A. carmichaelii;Z z;Z;NA;NA
Eisenhut, Sturmhut;Bunter E.;Aconitum;A. variegatum;Z s;Z;NA;W
Eisenhut, Sturmhut;Blauer E.;Aconitum;A. napellus;Z z;Z;NA;W
Eisenhut, Sturmhut;Rispen-E.;Aconitum;A. degenii;Z z;Z;NA;W
Eisenhut, Sturmhut;Raustiel-E., Behaarter E.;Aconitum;A. pilipes;Z s;Z;NA;W
Eisenhut, Sturmhut;Tauern-E.;Aconitum;A. tauricum;Z s;Z;NA;W
Eisenhut, Sturmhut;Sudeten-E.;Aconitum;A. plicatum;Z s;Z;NA;W
Bergknöterich;Weicher B.;Aconogonon;A. molle;Z s;Z;NA;NA
Bergknöterich;Himalaja-B.;Aconogonon;A. polystachyum;Z s;Z;NA;W
Bergknöterich;Glockenblütiger B.;Aconogonon;A. campanulatum;Z s;Z;NA;NA
Kalmus;Gewöhnlicher K.;Acorus;A. calamus;Z z;Z;NA;W
Kalmus;Zwerg-K., Gras-K.;Acorus;A. gramineus;Z s;Z;NA;NA
