vernacular_names;species;vernacular_names2;species2;s3;s4;s5;s6
Japanische T.;– N. japonica DC.;Japanische T.;N. japonica DC.;N. japonica DC.;N. japonica DC.;N. japonica DC.;N. japonica
Große T.;– N. lutea (L.) SIBTH. et SM. ;Große T.;N. lutea (L.) SIBTH. et SM. ;N. lutea (L.) SIBTH. et SM. ;N. lutea (L.) SIBTH. et SM. ;N. lutea (L.) SIBTH. et SM. ;N. lutea
Zwerg-T.;– N. pumila (TIMM) DC.4 (1) SchwimmBlSpr;Zwerg-T.;N. pumila (TIMM) DC.4 (1) SchwimmBlSpr;N. pumila (TIMM) DC.4 (1) SchwimmBlSpr;N. pumila (TIMM) DC.;N. pumila (TIMM) DC.;N. pumila
Pfeilblättrige T.;– N. sagittifolia (WALTER) PURSH4* Schwi;Pfeilblättrige T.;N. sagittifolia (WALTER) PURSH4* Schwi;N. sagittifolia (WALTER) PURSH4* Schwi;N. sagittifolia (WALTER) PURSH;N. sagittifolia (WALTER) PURSH;N. sagittifolia
Indianer-T.;– N. polysepala ENGELM.;Indianer-T.;N. polysepala ENGELM.;N. polysepala ENGELM.;N. polysepala ENGELM.;N. polysepala ENGELM.;N. polysepala
Stierkopf-T.;– N. variegata DURAND;Stierkopf-T.;N. variegata DURAND;N. variegata DURAND;N. variegata DURAND;N. variegata DURAND;N. variegata
Amerikanische T.;– N. advena (AITON) W. T. AITON;Amerikanische T.;N. advena (AITON) W. T. AITON;N. advena (AITON) W. T. AITON;N. advena (AITON) W. T. AITON;N. advena (AITON) W. T. AITON;N. advena
Mexikanische S.;– N. mexicana ZUCC.;Mexikanische S.;N. mexicana ZUCC.;N. mexicana ZUCC.;N. mexicana ZUCC.;N. mexicana ZUCC.;N. mexicana
Schwedische S.;– N. alba L. f. rosea C. HARTM.;Schwedische S.;N. alba L. f. rosea C. HARTM.;N. alba L. f. rosea C. HARTM.;N. alba L. f. rosea C. HARTM.;N. alba L. f. rosea C. HARTM.;N. alba f. rosea
Kleine S.;– N. candida C. PRESL5 (3) Rhizom mit kn;Kleine S.;N. candida C. PRESL5 (3) Rhizom mit kn;N. candida C. PRESL5 (3) Rhizom mit kn;N. candida C. PRESL;N. candida C. PRESL;N. candida
Knollen-S.;– N. tuberosa PAINE5* Rhizom walzlich, o;Knollen-S.;N. tuberosa PAINE5* Rhizom walzlich, o;N. tuberosa PAINE5* Rhizom walzlich, o;N. tuberosa PAINE;N. tuberosa PAINE;N. tuberosa
Wohlriechende S.;– N. odorata AITON;Wohlriechende S.;N. odorata AITON;N. odorata AITON;N. odorata AITON;N. odorata AITON;N. odorata
Weiße S.;– N. alba L.;Weiße S.;N. alba L.;N. alba L.;N. alba L.;N. alba L.;N. alba
Indische L.;– N. nucifera GAERTN.;Indische L.;N. nucifera GAERTN.;N. nucifera GAERTN.;N. nucifera GAERTN.;N. nucifera GAERTN.;N. nucifera
Amerikanische L.;– N. lutea (WILLD.) PERS.;Amerikanische L.;N. lutea (WILLD.) PERS.;N. lutea (WILLD.) PERS.;N. lutea (WILLD.) PERS.;N. lutea (WILLD.) PERS.;N. lutea
Kanadische O.;– H. canadensis L. ;Kanadische O.;H. canadensis L. ;H. canadensis L. ;H. canadensis L. ;H. canadensis L. ;H. canadensis
Streifenfarnblättriger G.;– C. aspleniifolia SALISB.2* NektarBl ve;Streifenfarnblättriger G.;C. aspleniifolia SALISB.2* NektarBl ve;C. aspleniifolia SALISB.2* NektarBl ve;C. aspleniifolia SALISB.;C. aspleniifolia SALISB.;C. aspleniifolia
Japanischer G.;– C. japonica (THUNB.) MAKINO var. disse;Japanischer G.;C. japonica (THUNB.) MAKINO var. disse;C. japonica (THUNB.) MAKINO var. disse;C. japonica (THUNB.) MAKINO var. disse;C. japonica (THUNB.) MAKINO var. disse;C. japonica var. disse
Fünfblättriger G.;– C. quinquefolia MIQ.;Fünfblättriger G.;C. quinquefolia MIQ.;C. quinquefolia MIQ.;C. quinquefolia MIQ.;C. quinquefolia MIQ.;C. quinquefolia
Dreiblättriger G.;– C. trifolia (L.) SALISB.4* Blchen deut;Dreiblättriger G.;C. trifolia (L.) SALISB.4* Blchen deut;C. trifolia (L.) SALISB.4* Blchen deut;C. trifolia (L.) SALISB.;C. trifolia (L.) SALISB.;C. trifolia
Großblättrige Sch.;– A. macrophylla SIEBOLD et ZUCC.;Großblättrige Sch.;A. macrophylla SIEBOLD et ZUCC.;A. macrophylla SIEBOLD et ZUCC.;A. macrophylla SIEBOLD et ZUCC.;A. macrophylla SIEBOLD et ZUCC.;A. macrophylla
Juli-S.;– C. racemosa (L.) NUTT.2* Frchen längli;Juli-S.;C. racemosa (L.) NUTT.2* Frchen längli;C. racemosa (L.) NUTT.2* Frchen längli;C. racemosa (L.) NUTT.;C. racemosa (L.) NUTT.;C. racemosa
Große S.;– C. elata NUTT.;Große S.;C. elata NUTT.;C. elata NUTT.;C. elata NUTT.;C. elata NUTT.;C. elata
